0,1,2,3,4,5,6,7,8
Date,Open,High,Low,Close,Adj,Close,Volume,
Feb,"2,",2026,"1,340.00","1,392.90","1,335.50","1,390.40","1,390.40","15,711,165"
Jan,"30,",2026,"1,382.60","1,398.00","1,378.50","1,395.40","1,395.40","11,239,835"
Jan,"29,",2026,"1,402.90","1,402.90","1,384.00","1,391.00","1,391.00","20,846,683"
Jan,"28,",2026,"1,385.00","1,409.90","1,384.90","1,396.70","1,396.70","11,121,657"
Jan,"27,",2026,"1,380.00","1,391.60","1,368.00","1,380.50","1,380.50","26,302,396"
Jan,"23,",2026,"1,401.80","1,407.00","1,381.00","1,386.10","1,386.10","9,837,802"
Jan,"22,",2026,"1,410.10","1,419.50","1,395.00","1,402.50","1,402.50","15,721,693"
Jan,"21,",2026,"1,389.50","1,412.90","1,373.00","1,404.60","1,404.60","17,352,720"
Jan,"20,",2026,"1,410.70","1,416.00","1,390.00","1,394.00","1,394.00","13,189,498"
Jan,"19,",2026,"1,450.60","1,450.60","1,403.30","1,413.60","1,413.60","20,392,765"
Jan,"16,",2026,"1,458.80","1,480.00","1,455.10","1,457.90","1,457.90","17,167,161"
Jan,"15,",2026,"1,458.80","1,458.80","1,458.80","1,458.80","1,458.80",-
Jan,"14,",2026,"1,444.00","1,467.00","1,440.20","1,458.80","1,458.80","8,321,764"
Jan,"13,",2026,"1,485.00","1,485.80","1,444.70","1,452.80","1,452.80","13,499,760"
Jan,"12,",2026,"1,475.30","1,485.30","1,451.00","1,483.20","1,483.20","8,883,745"
Jan,"9,",2026,"1,465.00","1,479.90","1,465.00","1,475.30","1,475.30","8,335,311"
Jan,"8,",2026,"1,500.00","1,503.90","1,468.80","1,470.60","1,470.60","16,518,684"
Jan,"7,",2026,"1,510.00","1,520.00","1,498.00","1,504.20","1,504.20","11,199,340"
Jan,"6,",2026,"1,569.00","1,569.00","1,496.30","1,507.60","1,507.60","27,417,125"
Jan,"5,",2026,"1,593.00","1,611.80","1,575.30","1,578.10","1,578.10","8,704,973"
Jan,"2,",2026,"1,580.00","1,594.60","1,578.20","1,592.30","1,592.30","6,602,230"
Jan,"1,",2026,"1,573.70","1,592.50","1,571.10","1,575.60","1,575.60","6,408,128"
Dec,"31,",2025,"1,541.00","1,577.00","1,541.00","1,570.40","1,570.40","5,771,830"
Dec,"30,",2025,"1,547.00","1,553.60","1,537.80","1,539.80","1,539.80","8,815,884"
Dec,"29,",2025,"1,554.90","1,558.10","1,543.60","1,545.60","1,545.60","5,972,105"
Dec,"26,",2025,"1,554.70","1,561.00","1,554.30","1,559.20","1,559.20","2,311,495"
Dec,"24,",2025,"1,572.70","1,575.70","1,553.60","1,558.20","1,558.20","8,815,745"
Dec,"23,",2025,"1,580.90","1,580.90","1,568.10","1,570.70","1,570.70","7,506,564"
Dec,"22,",2025,"1,573.50","1,577.50","1,565.30","1,575.40","1,575.40","10,184,852"
Dec,"19,",2025,"1,554.40","1,574.20","1,551.00","1,565.10","1,565.10","13,937,275"
Dec,"18,",2025,"1,535.20","1,551.50","1,535.20","1,544.40","1,544.40","6,580,829"
Dec,"17,",2025,"1,550.00","1,550.00","1,539.30","1,544.40","1,544.40","7,116,649"
Dec,"16,",2025,"1,545.00","1,551.70","1,538.80","1,542.30","1,542.30","11,731,856"
Dec,"15,",2025,"1,551.20","1,558.60","1,546.50","1,556.20","1,556.20","5,774,543"
Dec,"12,",2025,"1,550.80","1,559.80","1,546.10","1,556.50","1,556.50","5,106,655"
Dec,"11,",2025,"1,536.90","1,550.00","1,524.00","1,545.00","1,545.00","4,706,197"
Dec,"10,",2025,"1,534.00","1,547.50","1,531.40","1,536.90","1,536.90","7,991,629"
Dec,"9,",2025,"1,540.30","1,542.50","1,520.10","1,529.40","1,529.40","11,503,971"
Dec,"8,",2025,"1,539.20","1,551.00","1,535.00","1,543.00","1,543.00","11,301,491"
Dec,"5,",2025,"1,530.40","1,545.80","1,520.60","1,540.60","1,540.60","10,183,266"
Dec,"4,",2025,"1,536.00","1,560.50","1,517.60","1,535.60","1,535.60","11,867,930"
Dec,"3,",2025,"1,545.20","1,552.40","1,533.00","1,538.80","1,538.80","6,090,883"
Dec,"2,",2025,"1,561.10","1,567.50","1,542.00","1,546.30","1,546.30","11,389,150"
Dec,"1,",2025,"1,575.00","1,577.50","1,563.60","1,566.10","1,566.10","8,920,233"
Nov,"28,",2025,"1,568.00","1,581.30","1,563.00","1,567.50","1,567.50","8,959,508"
Nov,"27,",2025,"1,575.00","1,575.50","1,556.00","1,563.40","1,563.40","9,794,643"
Nov,"26,",2025,"1,542.30","1,571.60","1,540.50","1,569.90","1,569.90","14,054,299"
Nov,"25,",2025,"1,535.90","1,559.60","1,525.10","1,539.70","1,539.70","15,033,482"
Nov,"24,",2025,"1,550.00","1,550.00","1,531.80","1,535.90","1,535.90","18,433,951"
Nov,"21,",2025,"1,541.00","1,557.80","1,540.10","1,546.60","1,546.60","9,615,271"
Nov,"20,",2025,"1,530.00","1,550.90","1,526.70","1,549.10","1,549.10","18,171,724"
Nov,"19,",2025,"1,517.40","1,522.30","1,512.00","1,518.90","1,518.90","5,692,366"
Nov,"18,",2025,"1,521.70","1,527.80","1,510.50","1,519.40","1,519.40","11,045,042"
Nov,"17,",2025,"1,520.90","1,523.70","1,511.50","1,518.30","1,518.30","5,871,416"
Nov,"14,",2025,"1,505.50","1,520.90","1,505.50","1,518.90","1,518.90","7,682,823"
Nov,"13,",2025,"1,515.00","1,522.10","1,506.80","1,510.90","1,510.90","7,196,443"
Nov,"12,",2025,"1,505.00","1,524.70","1,500.00","1,511.50","1,511.50","12,384,459"
Nov,"11,",2025,"1,497.00","1,498.80","1,480.20","1,493.40","1,493.40","7,127,506"
Nov,"10,",2025,"1,477.90","1,501.00","1,475.50","1,489.30","1,489.30","7,068,438"
Nov,"7,",2025,"1,494.60","1,498.40","1,475.90","1,478.00","1,478.00","7,821,765"
Nov,"6,",2025,"1,484.00","1,501.60","1,476.20","1,496.10","1,496.10","16,772,678"
Nov,"4,",2025,"1,483.90","1,492.80","1,470.10","1,473.10","1,473.10","10,007,806"
Nov,"3,",2025,"1,486.00","1,495.00","1,479.30","1,484.70","1,484.70","8,452,085"
Oct,"31,",2025,"1,490.40","1,497.50","1,482.30","1,486.40","1,486.40","8,758,053"
Oct,"30,",2025,"1,500.00","1,503.10","1,484.00","1,488.50","1,488.50","9,318,663"
Oct,"29,",2025,"1,490.00","1,508.30","1,488.10","1,504.20","1,504.20","11,884,745"
Oct,"28,",2025,"1,484.10","1,492.00","1,477.60","1,486.90","1,486.90","17,631,577"
Oct,"27,",2025,"1,463.00","1,485.00","1,458.00","1,484.10","1,484.10","14,113,867"
Oct,"24,",2025,"1,450.00","1,459.80","1,441.00","1,451.60","1,451.60","9,700,837"
Oct,"23,",2025,"1,475.00","1,482.90","1,444.60","1,448.40","1,448.40","18,707,090"
Oct,"21,",2025,"1,468.00","1,474.00","1,460.00","1,465.20","1,465.20","2,066,169"
Oct,"20,",2025,"1,440.00","1,473.80","1,433.30","1,466.80","1,466.80","24,721,978"
Oct,"17,",2025,"1,401.00","1,423.30","1,399.10","1,416.80","1,416.80","19,335,561"
Oct,"16,",2025,"1,375.10","1,400.50","1,375.00","1,398.30","1,398.30","12,315,932"
Oct,"15,",2025,"1,383.00","1,384.00","1,372.70","1,374.30","1,374.30","10,882,743"
Oct,"14,",2025,"1,380.00","1,388.00","1,370.10","1,375.90","1,375.90","9,768,174"
Oct,"13,",2025,"1,376.90","1,377.70","1,367.80","1,375.00","1,375.00","7,600,682"
Oct,"10,",2025,"1,377.80","1,388.00","1,375.10","1,381.70","1,381.70","6,373,084"
Oct,"9,",2025,"1,374.00","1,380.00","1,369.10","1,377.80","1,377.80","8,826,633"
Oct,"8,",2025,"1,384.80","1,389.00","1,364.50","1,367.40","1,367.40","8,525,081"
Oct,"7,",2025,"1,376.00","1,395.90","1,375.90","1,384.80","1,384.80","11,244,040"
Oct,"6,",2025,"1,360.00","1,377.40","1,359.00","1,375.00","1,375.00","12,396,580"
Oct,"3,",2025,"1,363.20","1,371.60","1,356.90","1,363.40","1,363.40","12,842,347"
Oct,"1,",2025,"1,367.00","1,378.60","1,362.70","1,368.70","1,368.70","12,045,916"
Sep,"30,",2025,"1,377.10","1,377.10","1,362.80","1,364.00","1,364.00","14,604,684"
Sep,"29,",2025,"1,381.60","1,389.00","1,368.00","1,372.80","1,372.80","14,231,999"
Sep,"26,",2025,"1,372.00","1,382.70","1,366.00","1,377.60","1,377.60","9,879,109"
Sep,"25,",2025,"1,381.30","1,384.50","1,369.00","1,372.40","1,372.40","11,411,143"
Sep,"24,",2025,"1,385.30","1,396.00","1,380.40","1,383.00","1,383.00","5,922,759"
Sep,"23,",2025,"1,391.00","1,395.00","1,376.80","1,389.80","1,389.80","14,014,702"
Sep,"22,",2025,"1,403.90","1,410.70","1,388.00","1,390.60","1,390.60","7,757,970"
Sep,"19,",2025,"1,414.90","1,417.00","1,403.60","1,407.40","1,407.40","13,461,373"
Sep,"18,",2025,"1,420.40","1,422.00","1,410.70","1,415.00","1,415.00","9,332,642"
Sep,"17,",2025,"1,407.00","1,416.20","1,406.90","1,413.80","1,413.80","7,519,417"
Sep,"16,",2025,"1,404.70","1,408.00","1,398.20","1,405.30","1,405.30","8,686,961"
Sep,"15,",2025,"1,393.00","1,400.80","1,388.60","1,399.30","1,399.30","5,396,697"
Sep,"12,",2025,"1,383.30","1,396.30","1,380.50","1,395.00","1,395.00","7,403,368"
Sep,"11,",2025,"1,376.00","1,385.50","1,375.00","1,383.30","1,383.30","9,766,072"
Sep,"10,",2025,"1,383.90","1,388.50","1,374.10","1,377.00","1,377.00","7,790,815"
Sep,"9,",2025,"1,376.60","1,381.20","1,368.70","1,376.20","1,376.20","9,754,452"
Sep,"8,",2025,"1,380.00","1,386.00","1,372.40","1,378.50","1,378.50","6,986,720"
Sep,"5,",2025,"1,363.00","1,381.00","1,359.30","1,375.00","1,375.00","5,777,575"
Sep,"4,",2025,"1,371.80","1,374.00","1,357.10","1,359.30","1,359.30","13,223,177"
Sep,"3,",2025,"1,369.70","1,376.50","1,360.50","1,372.60","1,372.60","7,847,563"
Sep,"2,",2025,"1,354.80","1,384.50","1,354.50","1,366.50","1,366.50","11,517,006"
Sep,"1,",2025,"1,356.00","1,363.20","1,340.60","1,353.90","1,353.90","11,232,238"
Aug,"29,",2025,"1,381.10","1,403.50","1,350.00","1,357.20","1,357.20","18,758,842"
Aug,"28,",2025,"1,389.90","1,392.20","1,366.50","1,385.90","1,385.90","13,161,813"
Aug,"26,",2025,"1,408.00","1,410.00","1,381.60","1,384.90","1,384.90","12,145,259"
Aug,"25,",2025,"1,414.70","1,419.50","1,405.70","1,412.60","1,412.60","5,979,407"
Aug,"22,",2025,"1,420.00","1,423.40","1,407.90","1,409.20","1,409.20","5,818,868"
Aug,"21,",2025,"1,425.00","1,431.90","1,420.30","1,424.80","1,424.80","11,021,323"
Aug,"20,",2025,"1,413.00","1,424.90","1,410.00","1,413.00","1,413.00","8,725,641"
Aug,"19,",2025,"1,390.00","1,421.00","1,389.10","1,420.10","1,420.10","14,384,719"
Aug,"18,",2025,"1,390.00","1,394.90","1,377.00","1,381.70","1,381.70","11,785,109"
Aug,"14,",2025,5.5,Dividend,,,,
Aug,"14,",2025,"1,377.30","1,380.70","1,370.10","1,373.80","1,373.80","7,126,128"
Aug,"13,",2025,"1,388.00","1,391.80","1,377.50","1,382.60","1,377.10","7,457,021"
Aug,"12,",2025,"1,381.90","1,401.90","1,375.20","1,380.40","1,374.91","12,244,664"
Aug,"11,",2025,"1,370.00","1,388.00","1,361.20","1,386.20","1,380.69","9,997,486"
Aug,"8,",2025,"1,385.00","1,397.20","1,365.00","1,367.80","1,362.36","8,793,606"
Aug,"7,",2025,"1,387.70","1,393.70","1,366.00","1,389.40","1,383.87","9,976,705"
Aug,"6,",2025,"1,391.90","1,395.90","1,383.30","1,392.80","1,387.26","5,834,312"
Aug,"5,",2025,"1,411.00","1,411.00","1,388.10","1,391.70","1,386.16","9,315,972"
Aug,"4,",2025,"1,395.10","1,416.10","1,391.70","1,411.50","1,405.89","6,312,820"
Aug,"1,",2025,"1,386.90","1,405.90","1,384.30","1,393.70","1,388.16","10,321,171"
Jul,"31,",2025,"1,388.10","1,402.60","1,382.20","1,390.20","1,384.67","17,065,827"
Jul,"30,",2025,"1,418.10","1,423.30","1,401.30","1,410.10","1,404.49","7,209,849"
Jul,"29,",2025,"1,383.00","1,420.20","1,383.00","1,417.10","1,411.46","10,750,072"
Jul,"28,",2025,"1,392.30","1,407.80","1,385.00","1,387.60","1,382.08","7,748,361"
Jul,"25,",2025,"1,398.90","1,401.00","1,384.10","1,391.70","1,386.16","11,854,722"
Jul,"24,",2025,"1,419.20","1,423.00","1,396.00","1,402.90","1,397.32","14,740,507"
Jul,"23,",2025,"1,426.00","1,426.00","1,414.40","1,424.60","1,418.93","8,354,596"
Jul,"22,",2025,"1,427.40","1,431.90","1,410.70","1,412.80","1,407.18","20,396,320"
Jul,"21,",2025,"1,465.00","1,476.00","1,423.10","1,428.60","1,422.92","22,442,744"
Jul,"18,",2025,"1,484.80","1,484.80","1,469.10","1,476.00","1,470.13","10,296,318"
Jul,"17,",2025,"1,487.40","1,489.60","1,473.90","1,476.40","1,470.53","11,854,613"
Jul,"16,",2025,"1,473.00","1,491.00","1,471.50","1,485.60","1,479.69","10,409,983"
Jul,"15,",2025,"1,486.20","1,496.50","1,482.40","1,485.40","1,479.49","8,132,454"
Jul,"14,",2025,"1,492.20","1,500.00","1,479.10","1,483.70","1,477.80","10,311,846"
Jul,"11,",2025,"1,512.00","1,515.00","1,490.30","1,495.20","1,489.25","7,234,991"
Jul,"10,",2025,"1,519.70","1,524.70","1,507.50","1,517.20","1,511.16","10,047,129"
Jul,"9,",2025,"1,536.70","1,551.00","1,510.10","1,519.00","1,512.96","8,870,660"
Jul,"8,",2025,"1,536.00","1,544.90","1,530.20","1,537.60","1,531.48","7,171,261"
Jul,"7,",2025,"1,526.60","1,544.80","1,525.00","1,541.50","1,535.37","7,251,074"
Jul,"4,",2025,"1,524.00","1,530.00","1,517.20","1,527.30","1,521.22","6,603,501"
Jul,"3,",2025,"1,520.80","1,531.90","1,513.00","1,517.80","1,511.76","11,283,291"
Jul,"2,",2025,"1,528.40","1,530.00","1,508.70","1,518.80","1,512.76","6,361,002"
Jul,"1,",2025,"1,500.60","1,531.40","1,500.10","1,528.40","1,522.32","10,368,523"
Jun,"30,",2025,"1,513.80","1,524.80","1,496.00","1,500.60","1,494.63","8,409,527"
Jun,"27,",2025,"1,499.40","1,522.00","1,496.90","1,515.40","1,509.37","11,117,052"
Jun,"26,",2025,"1,469.10","1,498.80","1,465.10","1,495.30","1,489.35","14,657,893"
Jun,"25,",2025,"1,464.00","1,472.40","1,460.50","1,467.30","1,461.46","7,525,851"
Jun,"24,",2025,"1,465.00","1,475.00","1,443.10","1,450.80","1,445.03","16,402,744"
Jun,"23,",2025,"1,453.00","1,463.80","1,442.00","1,456.80","1,451.00","5,989,078"
Jun,"20,",2025,"1,431.00","1,471.00","1,428.10","1,466.20","1,460.37","29,010,635"
Jun,"19,",2025,"1,430.10","1,439.90","1,425.70","1,433.30","1,427.60","10,007,230"
Jun,"18,",2025,"1,430.00","1,442.80","1,425.70","1,430.10","1,424.41","6,681,735"
Jun,"17,",2025,"1,448.00","1,448.00","1,425.80","1,431.20","1,425.51","10,366,599"
Jun,"16,",2025,"1,426.90","1,442.40","1,424.40","1,437.80","1,432.08","8,458,093"
Jun,"13,",2025,"1,424.00","1,435.50","1,414.30","1,427.90","1,422.22","9,757,276"
Jun,"12,",2025,"1,453.50","1,457.00","1,434.40","1,441.60","1,435.87","8,828,114"
