Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2015-01-01,70.76136779785156,71.12961809193881,69.40390937432629,70.0970796331477,3946806
2015-01-02,71.10795593261719,71.77224405824526,70.76136363541752,70.94910442431483,6565229
2015-01-05,72.28491973876953,73.15138269048227,70.86247279895221,70.92023699573306,9404837
2015-01-06,71.73612976074219,74.79042147191868,69.9237750717201,71.57006134214672,18412441
2015-01-07,71.10073852539062,73.29578494453382,69.606086507585,72.20548225874829,10863352
2015-01-08,73.90229797363281,74.22721787008781,72.032171990247,72.10437721036757,7942903
2015-01-09,73.16580963134766,75.20200436341746,71.91665552274328,74.51605106482616,12083224
2015-01-12,74.30664825439453,75.4402738203649,73.64957714794174,73.74344034133482,12302379
2015-01-13,71.72892761230469,74.92040631051941,71.47620568597338,74.79766100037568,7711411
2015-01-14,70.95631408691406,72.01773446868943,70.18371459974757,71.98885237922853,6088603
2015-01-15,72.33543395996094,72.90585879335762,70.1837112108477,72.20546456366267,8490702
2015-01-16,72.24880981445312,73.14416200679167,71.1079669865704,71.98887094227732,7528008
2015-01-19,73.11526489257812,73.93840448540173,72.22713700096993,72.49429274841243,7947209
2015-01-20,73.14414978027344,73.64958639168384,72.58816591363387,73.46185279315998,6590817
2015-01-21,73.09359741210938,73.49072974452605,72.1693705301805,73.21634988895342,6416875
2015-01-22,74.89152526855469,75.3825280805652,73.14415848961809,73.21636372841712,8134532
2015-01-23,81.42611694335938,82.94965093399789,75.71466511665632,75.81575244154591,45485926
2015-01-27,81.057861328125,82.70414769895336,80.04698814579456,81.44055262695235,12114821
2015-01-28,80.46578979492188,83.8089030723653,79.57044485020897,80.00367627507006,13903344
2015-01-29,84.24935913085938,86.03283210154486,80.46579028755471,80.58131866822497,37824705
2015-01-30,90.58899688720703,93.28947986332872,81.46222643406585,85.6934675797662,65285063
2015-02-02,94.56029510498047,95.68669672191531,92.29304363656343,94.011535342884,41701833
2015-02-03,92.6540756225586,94.65416426480391,91.57098988844841,94.63250628797367,11937206
2015-02-04,93.62162017822266,95.94664302714253,91.39047491325489,92.70461013687975,20534456
2015-02-05,89.94635772705078,94.2281457040843,89.44813806136928,94.15594047631713,15521514
2015-02-06,90.59620666503906,92.9862105362058,89.97524169330003,90.25684568154882,13093343
2015-02-09,87.97515869140625,91.62875070679253,87.36862753981937,88.09068706538916,9986256
2015-02-10,91.69373321533203,92.33636334907996,86.65378665437008,87.51303247564381,16479576
2015-02-11,95.52784729003906,96.29322995252717,91.98978366400716,92.42301506456087,19163587
2015-02-12,98.82762908935547,99.21032038903826,95.88886554903326,96.01161802982146,19540915
2015-02-13,97.02970886230469,99.6002219770629,96.43762603651878,99.26807795284154,11217343
2015-02-16,95.74446868896484,98.9359545726855,94.95021107400933,97.36187320214214,11523388
2015-02-18,96.14158630371094,97.47738659022968,95.52783828337101,96.09104623916636,6802972
2015-02-19,99.96849060058594,101.28262589473677,96.06217655383944,96.8925331730881,16545483
2015-02-20,99.26808166503906,102.19962100270828,98.19943714157998,100.94325008149679,13753196
2015-02-23,98.17778778076172,100.07678896832915,97.34742402222443,99.6435575781818,6944254
2015-02-24,102.8494873046875,103.21051347389572,98.13446756438682,98.13446756438682,18937816
2015-02-25,100.49557495117188,103.89645175525796,100.22118791410192,103.5426425665432,13553581
2015-02-26,99.36195373535156,101.66530405734753,98.34385644648297,100.52446147738054,15476196
2015-02-27,102.72673797607422,103.00834199081564,99.34030162236633,99.96126665252426,12843035
2015-03-02,102.51734161376953,103.39824545275819,99.64355897579786,101.37649174887005,8781363
2015-03-03,104.23582458496094,105.05897141358705,102.11298358720369,103.03721774009554,10908493
2015-03-04,101.70863342285156,105.22503895494702,101.08766843622844,105.12395163154325,9656926
